brand_sort,score_sort,match_sort
DIPUTACIÓN PROV. DE GUADALAJARA,81,DIPUTACIÓN PROV. DE MÁLAGA
SAN ESTEBAN DE GORMAZ,81,SAN ESTEBAN DE LITERA
SAN MARTÍN DE LA VEGA,81,VEGA DE SAN MATEO
CONSELL COMARCAL DE BAGES,81,CONSELL COMARCAL DE BAIX CAMP
SANTA COLOMA DE FARNERS,81,SANTA COLOMA DE GRAMENET
CABEZÓN DE LA SAL,81,CABEZÓN DE LIÉBANA
QUART DE LES VALLS,81,"VALLS DE VALIRA, LES"
VILLAFRANCA DE LOS BARROS,81,VILLAFRANCA DEL BIERZO
VILLANUEVA DE DUERO,81,VILLANUEVA DEL REY
DIPUTACIÓN PROV. DE TOLEDO,81,DIPUTACIÓN PROV. DE VALLADOLID
DIPUTACIÓN PROV. DE VALENCIA,81,DIPUTACIÓN PROV. DE VALLADOLID
VILARMAIOR,80,VILLAMAYOR
VILLANUEVA DE LA JARA,80,VILLANUEVA DE TAPIA
CARBAJOSA DE LA SAGRADA,80,CUBAS DE LA SAGRA
BARRO,80,DARRO
BAZA,80,BAZTAN
ARES,80,"PARRES, CARTES"
BENASSAL,80,BENISSA
BENIARDÁ,80,"BENIJÓFAR, BENICARLÓ"
"BARCO DE ÁVILA, EL",80,"VILLAR DE ARNEDO, EL"
CAMPOS,80,CAMÓS
CAMPELLES,80,"CAMPELLO, EL"
ARIZA,80,YAIZA
VILLAMAÑÁN,80,VILLANÚA
VILLAMAYOR DE GÁLLEGO,80,VILLANUEVA DE GÁLLEGO
SANTA EULÀLIA DE RIUPRIMER,80,SANTA EULÀRIA DES RIU
ALAGÓN,80,ARAGÓN
"CASAR, EL",80,CASARES
SAHAGÚN,80,SAHÚN
SALAR,80,SALAS
"RIBA, LA",80,"ROBLA, LA"
QUEL,80,QUEROL
ZALAMEA DE LA SERENA,80,ZALAMEA LA REAL
BALENYÀ,80,BALSARENY
VILLANUEVA DEL REY,80,VILLANUEVA DEL TRABUCO
QUER,80,QUEROL
ARBO,80,"ARBOÇ, L'"
CELLA,80,SELLA
